RK,TIERS,PLAYER NAME,TEAM,POS,BYE WEEK,UPSIDE,BUST,SOS SEASON,ECR VS. ADP,Provider Added
362,7,Sanitized RB Player 362,FA,RB91,7,2,5,2,2,metadata-362
363,7,Sanitized WR Player 363,FA,WR91,8,3,6,3,3,metadata-363
364,7,Sanitized TE Player 364,FA,TE91,9,4,,,4,metadata-364
365,7,Sanitized QB Player 365,FA,QB92,10,,1,1,5,metadata-365
366,7,Sanitized RB Player 366,FA,RB92,11,1,2,2,6,metadata-366
367,7,Sanitized WR Player 367,FA,WR92,12,2,3,3,7,metadata-367
368,7,Sanitized TE Player 368,FA,TE92,13,3,4,,8,metadata-368
369,7,Sanitized QB Player 369,FA,QB93,14,4,5,1,,metadata-369
370,7,Sanitized RB Player 370,FA,RB93,5,,6,2,1,metadata-370
371,7,Sanitized WR Player 371,FA,WR93,6,1,,3,2,metadata-371
372,7,Sanitized TE Player 372,FA,TE93,7,2,1,,3,metadata-372
373,7,Sanitized QB Player 373,FA,QB94,8,3,2,1,4,metadata-373
374,7,Sanitized RB Player 374,FA,RB94,9,4,3,2,5,metadata-374
375,7,Sanitized WR Player 375,FA,WR94,10,,4,3,6,metadata-375
376,7,Sanitized TE Player 376,FA,TE94,11,1,5,,7,metadata-376
377,7,Sanitized QB Player 377,FA,QB95,12,2,6,1,8,metadata-377
378,7,Sanitized RB Player 378,FA,RB95,13,3,,2,,metadata-378
379,7,Sanitized WR Player 379,FA,WR95,14,4,1,3,1,metadata-379
380,7,Sanitized TE Player 380,FA,TE95,5,,2,,2,metadata-380
381,7,Sanitized QB Player 381,FA,QB96,6,1,3,1,3,metadata-381
382,7,Sanitized RB Player 382,FA,RB96,7,2,4,2,4,metadata-382
383,7,Sanitized WR Player 383,FA,WR96,8,3,5,3,5,metadata-383
384,7,Sanitized TE Player 384,FA,TE96,9,4,6,,6,metadata-384
385,7,Sanitized QB Player 385,FA,QB97,10,,,1,7,metadata-385
386,7,Sanitized RB Player 386,FA,RB97,11,1,1,2,8,metadata-386
387,7,Sanitized WR Player 387,FA,WR97,12,2,2,3,,metadata-387
388,7,Sanitized TE Player 388,FA,TE97,13,3,3,,1,metadata-388
389,7,Sanitized QB Player 389,FA,QB98,14,4,4,1,2,metadata-389
390,7,Sanitized RB Player 390,FA,RB98,5,,5,2,3,metadata-390
391,7,Sanitized WR Player 391,FA,WR98,6,1,6,3,4,metadata-391
392,7,Sanitized TE Player 392,FA,TE98,7,2,,,5,metadata-392
393,7,Sanitized QB Player 393,FA,QB99,8,3,1,1,6,metadata-393
394,7,Sanitized RB Player 394,FA,RB99,9,4,2,2,7,metadata-394
395,7,Sanitized WR Player 395,FA,WR99,10,,3,3,8,metadata-395
396,7,Sanitized TE Player 396,FA,TE99,11,1,4,,,metadata-396
397,7,Sanitized QB Player 397,FA,QB100,12,2,5,1,1,metadata-397
398,7,Sanitized RB Player 398,FA,RB100,13,3,6,2,2,metadata-398
399,7,Sanitized WR Player 399,FA,WR100,14,4,,3,3,metadata-399
400,7,Sanitized TE Player 400,FA,TE100,5,,1,,4,metadata-400
401,7,Sanitized QB Player 401,FA,QB101,6,1,2,1,5,metadata-401
402,7,Sanitized RB Player 402,FA,RB101,7,2,3,2,6,metadata-402
403,7,Sanitized WR Player 403,FA,WR101,8,3,4,3,7,metadata-403
404,7,Sanitized TE Player 404,FA,TE101,9,4,5,,8,metadata-404
405,7,Sanitized QB Player 405,FA,QB102,10,,6,1,,metadata-405
406,7,Sanitized RB Player 406,FA,RB102,11,1,,2,1,metadata-406
407,7,Sanitized WR Player 407,FA,WR102,12,2,1,3,2,metadata-407
408,7,Sanitized TE Player 408,FA,TE102,13,3,2,,3,metadata-408
409,7,Sanitized QB Player 409,FA,QB103,14,4,3,1,4,metadata-409
410,7,Sanitized RB Player 410,FA,RB103,5,,4,2,5,metadata-410
411,7,Sanitized WR Player 411,FA,WR103,6,1,5,3,6,metadata-411
412,7,Sanitized TE Player 412,FA,TE103,7,2,6,,7,metadata-412
413,7,Sanitized QB Player 413,FA,QB104,8,3,,1,8,metadata-413
414,7,Sanitized RB Player 414,FA,RB104,9,4,1,2,,metadata-414
415,7,Sanitized WR Player 415,FA,WR104,10,,2,3,1,metadata-415
416,7,Sanitized TE Player 416,FA,TE104,11,1,3,,2,metadata-416
417,7,Sanitized QB Player 417,FA,QB105,12,2,4,1,3,metadata-417
418,7,Sanitized RB Player 418,FA,RB105,13,3,5,2,4,metadata-418
419,7,Sanitized WR Player 419,FA,WR105,14,4,6,3,5,metadata-419
420,7,Sanitized TE Player 420,FA,TE105,5,,,,6,metadata-420
421,8,Sanitized QB Player 421,FA,QB106,6,1,1,1,7,metadata-421
422,8,Sanitized RB Player 422,FA,RB106,7,2,2,2,8,metadata-422
423,8,Sanitized WR Player 423,FA,WR106,8,3,3,3,,metadata-423
424,8,Sanitized TE Player 424,FA,TE106,9,4,4,,1,metadata-424
425,8,Sanitized QB Player 425,FA,QB107,10,,5,1,2,metadata-425
426,8,Sanitized RB Player 426,FA,RB107,11,1,6,2,3,metadata-426
427,8,Sanitized WR Player 427,FA,WR107,12,2,,3,4,metadata-427
428,8,Sanitized TE Player 428,FA,TE107,13,3,1,,5,metadata-428
429,8,Sanitized QB Player 429,FA,QB108,14,4,2,1,6,metadata-429
430,8,Sanitized RB Player 430,FA,RB108,5,,3,2,7,metadata-430
431,8,Sanitized WR Player 431,FA,WR108,6,1,4,3,8,metadata-431
432,8,Sanitized TE Player 432,FA,TE108,7,2,5,,,metadata-432
433,8,Sanitized QB Player 433,FA,QB109,8,3,6,1,1,metadata-433
434,8,Sanitized RB Player 434,FA,RB109,9,4,,2,2,metadata-434
435,8,Sanitized WR Player 435,FA,WR109,10,,1,3,3,metadata-435
436,8,Sanitized TE Player 436,FA,TE109,11,1,2,,4,metadata-436
437,8,Sanitized QB Player 437,FA,QB110,12,2,3,1,5,metadata-437
438,8,Sanitized RB Player 438,FA,RB110,13,3,4,2,6,metadata-438
439,8,Sanitized WR Player 439,FA,WR110,14,4,5,3,7,metadata-439
440,8,Sanitized TE Player 440,FA,TE110,5,,6,,8,metadata-440
441,8,Sanitized QB Player 441,FA,QB111,6,1,,1,,metadata-441
442,8,Sanitized RB Player 442,FA,RB111,7,2,1,2,1,metadata-442
443,8,Sanitized WR Player 443,FA,WR111,8,3,2,3,2,metadata-443
444,8,Sanitized TE Player 444,FA,TE111,9,4,3,,3,metadata-444
445,8,Sanitized QB Player 445,FA,QB112,10,,4,1,4,metadata-445
446,8,Sanitized RB Player 446,FA,RB112,11,1,5,2,5,metadata-446
447,8,Sanitized WR Player 447,FA,WR112,12,2,6,3,6,metadata-447
448,8,Sanitized TE Player 448,FA,TE112,13,3,,,7,metadata-448
449,8,Sanitized QB Player 449,FA,QB113,14,4,1,1,8,metadata-449
450,8,Sanitized RB Player 450,FA,RB113,5,,2,2,,metadata-450
451,8,Sanitized WR Player 451,FA,WR113,6,1,3,3,1,metadata-451
452,8,Sanitized TE Player 452,FA,TE113,7,2,4,,2,metadata-452
453,8,Sanitized QB Player 453,FA,QB114,8,3,5,1,3,metadata-453
454,8,Sanitized RB Player 454,FA,RB114,9,4,6,2,4,metadata-454
455,8,Sanitized WR Player 455,FA,WR114,10,,,3,5,metadata-455
456,8,Sanitized TE Player 456,FA,TE114,11,1,1,,6,metadata-456
457,8,Sanitized QB Player 457,FA,QB115,12,2,2,1,7,metadata-457
458,8,Sanitized RB Player 458,FA,RB115,13,3,3,2,8,metadata-458
459,8,Sanitized WR Player 459,FA,WR115,14,4,4,3,,metadata-459
460,8,Sanitized TE Player 460,FA,TE115,5,,5,,1,metadata-460
461,8,Sanitized QB Player 461,FA,QB116,6,1,6,1,2,metadata-461
462,8,Sanitized RB Player 462,FA,RB116,7,2,,2,3,metadata-462
463,8,Sanitized WR Player 463,FA,WR116,8,3,1,3,4,metadata-463
464,8,Sanitized TE Player 464,FA,TE116,9,4,2,,5,metadata-464
465,8,Sanitized QB Player 465,FA,QB117,10,,3,1,6,metadata-465
466,8,Sanitized RB Player 466,FA,RB117,11,1,4,2,7,metadata-466
467,8,Sanitized WR Player 467,FA,WR117,12,2,5,3,8,metadata-467
468,8,Sanitized TE Player 468,FA,TE117,13,3,6,,,metadata-468
469,8,Sanitized QB Player 469,FA,QB118,14,4,,1,1,metadata-469
470,8,Sanitized RB Player 470,FA,RB118,5,,1,2,2,metadata-470
471,8,Sanitized WR Player 471,FA,WR118,6,1,2,3,3,metadata-471
472,8,Sanitized TE Player 472,FA,TE118,7,2,3,,4,metadata-472
473,8,Sanitized QB Player 473,FA,QB119,8,3,4,1,5,metadata-473
474,8,Sanitized RB Player 474,FA,RB119,9,4,5,2,6,metadata-474
475,8,Sanitized WR Player 475,FA,WR119,10,,6,3,7,metadata-475
476,8,Sanitized TE Player 476,FA,TE119,11,1,,,8,metadata-476
477,8,Sanitized QB Player 477,FA,QB120,12,2,1,1,,metadata-477
478,8,Sanitized RB Player 478,FA,RB120,13,3,2,2,1,metadata-478
479,8,Sanitized WR Player 479,FA,WR120,14,4,3,3,2,metadata-479
480,8,Sanitized TE Player 480,FA,TE120,5,,4,,3,metadata-480
481,9,Sanitized QB Player 481,FA,QB121,6,1,5,1,4,metadata-481
482,9,Sanitized RB Player 482,FA,RB121,7,2,6,2,5,metadata-482
483,9,Sanitized WR Player 483,FA,WR121,8,3,,3,6,metadata-483
484,9,Sanitized TE Player 484,FA,TE121,9,4,1,,7,metadata-484
485,9,Sanitized QB Player 485,FA,QB122,10,,2,1,8,metadata-485
486,9,Sanitized RB Player 486,FA,RB122,11,1,3,2,,metadata-486
487,9,Sanitized WR Player 487,FA,WR122,12,2,4,3,1,metadata-487
488,9,Sanitized TE Player 488,FA,TE122,13,3,5,,2,metadata-488
489,9,Sanitized QB Player 489,FA,QB123,14,4,6,1,3,metadata-489
490,9,Sanitized RB Player 490,FA,RB123,5,,,2,4,metadata-490
491,9,Sanitized WR Player 491,FA,WR123,6,1,1,3,5,metadata-491
492,9,Sanitized TE Player 492,FA,TE123,7,2,2,,6,metadata-492
493,9,Sanitized QB Player 493,FA,QB124,8,3,3,1,7,metadata-493
494,9,Sanitized RB Player 494,FA,RB124,9,4,4,2,8,metadata-494
495,9,Sanitized WR Player 495,FA,WR124,10,,5,3,,metadata-495
496,9,Sanitized TE Player 496,FA,TE124,11,1,6,,1,metadata-496
497,9,Sanitized QB Player 497,FA,QB125,12,2,,1,2,metadata-497
498,9,Sanitized RB Player 498,FA,RB125,13,3,1,2,3,metadata-498
499,9,Sanitized WR Player 499,FA,WR125,14,4,2,3,4,metadata-499
500,9,Sanitized TE Player 500,FA,TE125,5,,3,,5,metadata-500
501,9,Sanitized QB Player 501,FA,QB126,6,1,4,1,6,metadata-501
502,9,Sanitized RB Player 502,FA,RB126,7,2,5,2,7,metadata-502
503,9,Sanitized WR Player 503,FA,WR126,8,3,6,3,8,metadata-503
504,9,Sanitized TE Player 504,FA,TE126,9,4,,,,metadata-504
505,9,Sanitized QB Player 505,FA,QB127,10,,1,1,1,metadata-505
506,9,Sanitized RB Player 506,FA,RB127,11,1,2,2,2,metadata-506
507,9,Sanitized WR Player 507,FA,WR127,12,2,3,3,3,metadata-507
508,9,Sanitized TE Player 508,FA,TE127,13,3,4,,4,metadata-508
509,9,Sanitized QB Player 509,FA,QB128,14,4,5,1,5,metadata-509
510,9,Sanitized RB Player 510,FA,RB128,5,,6,2,6,metadata-510
511,9,Sanitized WR Player 511,FA,WR128,6,1,,3,7,metadata-511
512,9,Sanitized TE Player 512,FA,TE128,7,2,1,,8,metadata-512
513,9,Sanitized QB Player 513,FA,QB129,8,3,2,1,,metadata-513
514,9,Sanitized RB Player 514,FA,RB129,9,4,3,2,1,metadata-514
515,9,Sanitized WR Player 515,FA,WR129,10,,4,3,2,metadata-515
516,9,Sanitized TE Player 516,FA,TE129,11,1,5,,3,metadata-516
517,9,Sanitized QB Player 517,FA,QB130,12,2,6,1,4,metadata-517
518,9,Sanitized RB Player 518,FA,RB130,13,3,,2,5,metadata-518
519,9,Sanitized WR Player 519,FA,WR130,14,4,1,3,6,metadata-519
520,9,Sanitized TE Player 520,FA,TE130,5,,2,,7,metadata-520
521,9,Sanitized QB Player 521,FA,QB131,6,1,3,1,8,metadata-521
522,9,Sanitized RB Player 522,FA,RB131,7,2,4,2,,metadata-522
523,9,Sanitized WR Player 523,FA,WR131,8,3,5,3,1,metadata-523
524,9,Sanitized TE Player 524,FA,TE131,9,4,6,,2,metadata-524
525,9,Sanitized QB Player 525,FA,QB132,10,,,1,3,metadata-525
526,9,Sanitized RB Player 526,FA,RB132,11,1,1,2,4,metadata-526
527,9,Sanitized WR Player 527,FA,WR132,12,2,2,3,5,metadata-527
528,9,Sanitized TE Player 528,FA,TE132,13,3,3,,6,metadata-528
529,9,Sanitized QB Player 529,FA,QB133,14,4,4,1,7,metadata-529
530,9,Sanitized RB Player 530,FA,RB133,5,,5,2,8,metadata-530
531,9,Sanitized WR Player 531,FA,WR133,6,1,6,3,,metadata-531
532,9,Sanitized TE Player 532,FA,TE133,7,2,,,1,metadata-532
533,9,Sanitized QB Player 533,FA,QB134,8,3,1,1,2,metadata-533
534,9,Sanitized RB Player 534,FA,RB134,9,4,2,2,3,metadata-534
535,9,Sanitized WR Player 535,FA,WR134,10,,3,3,4,metadata-535
536,9,Sanitized TE Player 536,FA,TE134,11,1,4,,5,metadata-536
537,9,Sanitized QB Player 537,FA,QB135,12,2,5,1,6,metadata-537
538,9,Sanitized RB Player 538,FA,RB135,13,3,6,2,7,metadata-538
539,9,Sanitized WR Player 539,FA,WR135,14,4,,3,8,metadata-539
540,9,Sanitized TE Player 540,FA,TE135,5,,1,,,metadata-540
541,10,Sanitized QB Player 541,FA,QB136,6,1,2,1,1,metadata-541
542,10,Sanitized RB Player 542,FA,RB136,7,2,3,2,2,metadata-542
543,10,Sanitized WR Player 543,FA,WR136,8,3,4,3,3,metadata-543
544,10,Sanitized TE Player 544,FA,TE136,9,4,5,,4,metadata-544
545,10,Sanitized QB Player 545,FA,QB137,10,,6,1,5,metadata-545
546,10,Sanitized RB Player 546,FA,RB137,11,1,,2,6,metadata-546
547,10,Sanitized WR Player 547,FA,WR137,12,2,1,3,7,metadata-547
548,10,Sanitized TE Player 548,FA,TE137,13,3,2,,8,metadata-548
549,10,Sanitized QB Player 549,FA,QB138,14,4,3,1,,metadata-549
550,10,Sanitized RB Player 550,FA,RB138,5,,4,2,1,metadata-550
551,10,Sanitized WR Player 551,FA,WR138,6,1,5,3,2,metadata-551
552,10,Sanitized TE Player 552,FA,TE138,7,2,6,,3,metadata-552
553,10,Sanitized QB Player 553,FA,QB139,8,3,,1,4,metadata-553
554,10,Sanitized RB Player 554,FA,RB139,9,4,1,2,5,metadata-554
555,10,Sanitized WR Player 555,FA,WR139,10,,2,3,6,metadata-555
556,10,Sanitized TE Player 556,FA,TE139,11,1,3,,7,metadata-556
557,10,Sanitized QB Player 557,FA,QB140,12,2,4,1,8,metadata-557
558,10,Sanitized RB Player 558,FA,RB140,13,3,5,2,,metadata-558
559,10,Sanitized WR Player 559,FA,WR140,14,4,6,3,1,metadata-559
560,10,Sanitized TE Player 560,FA,TE140,5,,,,2,metadata-560
561,10,Sanitized QB Player 561,FA,QB141,6,1,1,1,3,metadata-561
562,10,Sanitized RB Player 562,FA,RB141,7,2,2,2,4,metadata-562
563,10,Sanitized WR Player 563,FA,WR141,8,3,3,3,5,metadata-563
564,10,Sanitized TE Player 564,FA,TE141,9,4,4,,6,metadata-564
565,10,Sanitized QB Player 565,FA,QB142,10,,5,1,7,metadata-565
566,10,Sanitized RB Player 566,FA,RB142,11,1,6,2,8,metadata-566
567,10,Sanitized WR Player 567,FA,WR142,12,2,,3,,metadata-567
568,10,Sanitized TE Player 568,FA,TE142,13,3,1,,1,metadata-568
569,10,Sanitized QB Player 569,FA,QB143,14,4,2,1,2,metadata-569
570,10,Sanitized RB Player 570,FA,RB143,5,,3,2,3,metadata-570
571,10,Sanitized WR Player 571,FA,WR143,6,1,4,3,4,metadata-571
572,10,Sanitized TE Player 572,FA,TE143,7,2,5,,5,metadata-572
573,10,Sanitized QB Player 573,FA,QB144,8,3,6,1,6,metadata-573
574,10,Sanitized RB Player 574,FA,RB144,9,4,,2,7,metadata-574
575,10,Sanitized WR Player 575,FA,WR144,10,,1,3,8,metadata-575
576,10,Sanitized TE Player 576,FA,TE144,11,1,2,,,metadata-576
577,10,Sanitized QB Player 577,FA,QB145,12,2,3,1,1,metadata-577
578,10,Sanitized RB Player 578,FA,RB145,13,3,4,2,2,metadata-578
579,10,Sanitized WR Player 579,FA,WR145,14,4,5,3,3,metadata-579
580,10,Sanitized TE Player 580,FA,TE145,5,,6,,4,metadata-580
581,10,Sanitized QB Player 581,FA,QB146,6,1,,1,5,metadata-581
582,10,Sanitized RB Player 582,FA,RB146,7,2,1,2,6,metadata-582
583,10,Sanitized WR Player 583,FA,WR146,8,3,2,3,7,metadata-583
584,10,Sanitized TE Player 584,FA,TE146,9,4,3,,8,metadata-584
585,10,Sanitized QB Player 585,FA,QB147,10,,4,1,,metadata-585
586,10,Sanitized RB Player 586,FA,RB147,11,1,5,2,1,metadata-586
587,10,Sanitized WR Player 587,FA,WR147,12,2,6,3,2,metadata-587
588,10,Sanitized TE Player 588,FA,TE147,13,3,,,3,metadata-588
589,10,Sanitized QB Player 589,FA,QB148,14,4,1,1,4,metadata-589
590,10,Sanitized RB Player 590,FA,RB148,5,,2,2,5,metadata-590
591,10,Sanitized WR Player 591,FA,WR148,6,1,3,3,6,metadata-591
592,10,Sanitized TE Player 592,FA,TE148,7,2,4,,7,metadata-592
593,10,Sanitized QB Player 593,FA,QB149,8,3,5,1,8,metadata-593
594,10,Sanitized RB Player 594,FA,RB149,9,4,6,2,,metadata-594
595,10,Sanitized WR Player 595,FA,WR149,10,,,3,1,metadata-595
596,10,Sanitized TE Player 596,FA,TE149,11,1,1,,2,metadata-596
597,10,Sanitized QB Player 597,FA,QB150,12,2,2,1,3,metadata-597
598,10,Sanitized RB Player 598,FA,RB150,13,3,3,2,4,metadata-598
599,10,Sanitized WR Player 599,FA,WR150,14,4,4,3,5,metadata-599
600,10,Sanitized TE Player 600,FA,TE150,5,,5,,6,metadata-600
601,11,Sanitized QB Player 601,FA,QB151,6,1,6,1,7,metadata-601
602,11,Sanitized RB Player 602,FA,RB151,7,2,,2,8,metadata-602
603,11,Sanitized WR Player 603,FA,WR151,8,3,1,3,,metadata-603
604,11,Sanitized TE Player 604,FA,TE151,9,4,2,,1,metadata-604
605,11,Sanitized QB Player 605,FA,QB152,10,,3,1,2,metadata-605
606,11,Sanitized RB Player 606,FA,RB152,11,1,4,2,3,metadata-606
607,11,Sanitized WR Player 607,FA,WR152,12,2,5,3,4,metadata-607
608,11,Sanitized TE Player 608,FA,TE152,13,3,6,,5,metadata-608
609,11,Sanitized QB Player 609,FA,QB153,14,4,,1,6,metadata-609
610,11,Sanitized RB Player 610,FA,RB153,5,,1,2,7,metadata-610
611,11,Sanitized WR Player 611,FA,WR153,6,1,2,3,8,metadata-611
612,11,Sanitized TE Player 612,FA,TE153,7,2,3,,,metadata-612
613,11,Sanitized QB Player 613,FA,QB154,8,3,4,1,1,metadata-613
614,11,Sanitized RB Player 614,FA,RB154,9,4,5,2,2,metadata-614
615,11,Sanitized WR Player 615,FA,WR154,10,,6,3,3,metadata-615
616,11,Sanitized TE Player 616,FA,TE154,11,1,,,4,metadata-616
617,11,Sanitized QB Player 617,FA,QB155,12,2,1,1,5,metadata-617
618,11,Sanitized RB Player 618,FA,RB155,13,3,2,2,6,metadata-618
619,11,Sanitized WR Player 619,FA,WR155,14,4,3,3,7,metadata-619
620,11,Sanitized TE Player 620,FA,TE155,5,,4,,8,metadata-620
621,11,Sanitized QB Player 621,FA,QB156,6,1,5,1,,metadata-621
622,11,Sanitized RB Player 622,FA,RB156,7,2,6,2,1,metadata-622
623,11,Sanitized WR Player 623,FA,WR156,8,3,,3,2,metadata-623
624,11,Sanitized TE Player 624,FA,TE156,9,4,1,,3,metadata-624
625,11,Sanitized QB Player 625,FA,QB157,10,,2,1,4,metadata-625
626,11,Sanitized RB Player 626,FA,RB157,11,1,3,2,5,metadata-626
627,11,Sanitized WR Player 627,FA,WR157,12,2,4,3,6,metadata-627
628,11,Sanitized TE Player 628,FA,TE157,13,3,5,,7,metadata-628
629,11,Sanitized QB Player 629,FA,QB158,14,4,6,1,8,metadata-629
630,11,Sanitized RB Player 630,FA,RB158,5,,,2,,metadata-630
631,11,Sanitized WR Player 631,FA,WR158,6,1,1,3,1,metadata-631
632,11,Sanitized TE Player 632,FA,TE158,7,2,2,,2,metadata-632
633,11,Sanitized QB Player 633,FA,QB159,8,3,3,1,3,metadata-633
634,11,Sanitized RB Player 634,FA,RB159,9,4,4,2,4,metadata-634
635,11,Sanitized WR Player 635,FA,WR159,10,,5,3,5,metadata-635
636,11,Sanitized TE Player 636,FA,TE159,11,1,6,,6,metadata-636
637,11,Sanitized QB Player 637,FA,QB160,12,2,,1,7,metadata-637
638,11,Sanitized RB Player 638,FA,RB160,13,3,1,2,8,metadata-638
639,11,Sanitized WR Player 639,FA,WR160,14,4,2,3,,metadata-639
640,11,Sanitized TE Player 640,FA,TE160,5,,3,,1,metadata-640
641,11,Sanitized QB Player 641,FA,QB161,6,1,4,1,2,metadata-641
642,11,Sanitized RB Player 642,FA,RB161,7,2,5,2,3,metadata-642
643,11,Sanitized WR Player 643,FA,WR161,8,3,6,3,4,metadata-643
644,11,Sanitized TE Player 644,FA,TE161,9,4,,,5,metadata-644
645,11,Sanitized QB Player 645,FA,QB162,10,,1,1,6,metadata-645
646,11,Sanitized RB Player 646,FA,RB162,11,1,2,2,7,metadata-646
647,11,Sanitized WR Player 647,FA,WR162,12,2,3,3,8,metadata-647
648,11,Sanitized TE Player 648,FA,TE162,13,3,4,,,metadata-648
649,11,Sanitized QB Player 649,FA,QB163,14,4,5,1,1,metadata-649
650,11,Sanitized RB Player 650,FA,RB163,5,,6,2,2,metadata-650
651,11,Sanitized WR Player 651,FA,WR163,6,1,,3,3,metadata-651
652,11,Sanitized TE Player 652,FA,TE163,7,2,1,,4,metadata-652
653,11,Sanitized QB Player 653,FA,QB164,8,3,2,1,5,metadata-653
654,11,Sanitized RB Player 654,FA,RB164,9,4,3,2,6,metadata-654
655,11,Sanitized WR Player 655,FA,WR164,10,,4,3,7,metadata-655
656,11,Sanitized TE Player 656,FA,TE164,11,1,5,,8,metadata-656
657,11,Sanitized QB Player 657,FA,QB165,12,2,6,1,,metadata-657
658,11,Sanitized RB Player 658,FA,RB165,13,3,,2,1,metadata-658
659,11,Sanitized WR Player 659,FA,WR165,14,4,1,3,2,metadata-659
660,11,Sanitized TE Player 660,FA,TE165,5,,2,,3,metadata-660
661,12,Sanitized QB Player 661,FA,QB166,6,1,3,1,4,metadata-661
662,12,Sanitized RB Player 662,FA,RB166,7,2,4,2,5,metadata-662
663,12,Sanitized WR Player 663,FA,WR166,8,3,5,3,6,metadata-663
664,12,Sanitized TE Player 664,FA,TE166,9,4,6,,7,metadata-664
665,12,Sanitized QB Player 665,FA,QB167,10,,,1,8,metadata-665
666,12,Sanitized RB Player 666,FA,RB167,11,1,1,2,,metadata-666
667,12,Sanitized WR Player 667,FA,WR167,12,2,2,3,1,metadata-667
668,12,Sanitized TE Player 668,FA,TE167,13,3,3,,2,metadata-668
669,12,Sanitized QB Player 669,FA,QB168,14,4,4,1,3,metadata-669
670,12,Sanitized RB Player 670,FA,RB168,5,,5,2,4,metadata-670
671,12,Sanitized WR Player 671,FA,WR168,6,1,6,3,5,metadata-671
672,12,Sanitized TE Player 672,FA,TE168,7,2,,,6,metadata-672
673,12,Sanitized QB Player 673,FA,QB169,8,3,1,1,7,metadata-673
674,12,Sanitized RB Player 674,FA,RB169,9,4,2,2,8,metadata-674
675,12,Sanitized WR Player 675,FA,WR169,10,,3,3,,metadata-675
676,12,Sanitized TE Player 676,FA,TE169,11,1,4,,1,metadata-676
677,12,Sanitized QB Player 677,FA,QB170,12,2,5,1,2,metadata-677
678,12,Sanitized RB Player 678,FA,RB170,13,3,6,2,3,metadata-678
679,12,Sanitized WR Player 679,FA,WR170,14,4,,3,4,metadata-679
680,12,Sanitized TE Player 680,FA,TE170,5,,1,,5,metadata-680
681,12,Sanitized QB Player 681,FA,QB171,6,1,2,1,6,metadata-681
682,12,Sanitized RB Player 682,FA,RB171,7,2,3,2,7,metadata-682
683,12,Sanitized WR Player 683,FA,WR171,8,3,4,3,8,metadata-683
684,12,Sanitized TE Player 684,FA,TE171,9,4,5,,,metadata-684
685,12,Sanitized QB Player 685,FA,QB172,10,,6,1,1,metadata-685
686,12,Sanitized RB Player 686,FA,RB172,11,1,,2,2,metadata-686
687,12,Sanitized WR Player 687,FA,WR172,12,2,1,3,3,metadata-687
688,12,Sanitized TE Player 688,FA,TE172,13,3,2,,4,metadata-688
689,12,Sanitized QB Player 689,FA,QB173,14,4,3,1,5,metadata-689
690,12,Sanitized RB Player 690,FA,RB173,5,,4,2,6,metadata-690
691,12,Sanitized WR Player 691,FA,WR173,6,1,5,3,7,metadata-691
692,12,Sanitized TE Player 692,FA,TE173,7,2,6,,8,metadata-692
693,12,Sanitized QB Player 693,FA,QB174,8,3,,1,,metadata-693
694,12,Sanitized RB Player 694,FA,RB174,9,4,1,2,1,metadata-694
695,12,Sanitized WR Player 695,FA,WR174,10,,2,3,2,metadata-695
696,12,Sanitized TE Player 696,FA,TE174,11,1,3,,3,metadata-696
697,12,Sanitized QB Player 697,FA,QB175,12,2,4,1,4,metadata-697
698,12,Sanitized RB Player 698,FA,RB175,13,3,5,2,5,metadata-698
699,12,Sanitized WR Player 699,FA,WR175,14,4,6,3,6,metadata-699
700,12,Sanitized TE Player 700,FA,TE175,5,,,,7,metadata-700
701,12,Sanitized QB Player 701,FA,QB176,6,1,1,1,8,metadata-701
702,12,Sanitized RB Player 702,FA,RB176,7,2,2,2,,metadata-702
703,12,Sanitized WR Player 703,FA,WR176,8,3,3,3,1,metadata-703
704,12,Sanitized TE Player 704,FA,TE176,9,4,4,,2,metadata-704
705,12,Sanitized QB Player 705,FA,QB177,10,,5,1,3,metadata-705
706,12,Sanitized RB Player 706,FA,RB177,11,1,6,2,4,metadata-706
707,12,Sanitized WR Player 707,FA,WR177,12,2,,3,5,metadata-707
708,12,Sanitized TE Player 708,FA,TE177,13,3,1,,6,metadata-708
709,12,Sanitized QB Player 709,FA,QB178,14,4,2,1,7,metadata-709
710,12,Sanitized RB Player 710,FA,RB178,5,,3,2,8,metadata-710
711,12,Sanitized WR Player 711,FA,WR178,6,1,4,3,,metadata-711
712,12,Sanitized TE Player 712,FA,TE178,7,2,5,,1,metadata-712
713,12,Sanitized QB Player 713,FA,QB179,8,3,6,1,2,metadata-713
714,12,Sanitized RB Player 714,FA,RB179,9,4,,2,3,metadata-714
715,12,Sanitized WR Player 715,FA,WR179,10,,1,3,4,metadata-715
716,12,Sanitized TE Player 716,FA,TE179,11,1,2,,5,metadata-716
717,12,Sanitized QB Player 717,FA,QB180,12,2,3,1,6,metadata-717
718,12,Sanitized RB Player 718,FA,RB180,13,3,4,2,7,metadata-718
719,12,Sanitized WR Player 719,FA,WR180,14,4,5,3,8,metadata-719
720,12,Sanitized TE Player 720,FA,TE180,5,,6,,,metadata-720
721,13,Sanitized QB Player 721,FA,QB181,6,1,,1,1,metadata-721
722,13,Sanitized RB Player 722,FA,RB181,7,2,1,2,2,metadata-722
723,13,Sanitized WR Player 723,FA,WR181,8,3,2,3,3,metadata-723
724,13,Sanitized TE Player 724,FA,TE181,9,4,3,,4,metadata-724
